ID,Name,Delivery Time,Global Categories,Instagram,URL Instagram,Languages,English Level,Other (Languages),Location Types,Min Price KRW(per hour & starting from),Response Speed,Style,Style (Other)
S01001,Josh,1 week,"Hanbok, Couple / Love Story, Family, Individual / Portrait, Street / Lifestyle",@joshfotos_,https://www.instagram.com/joshfotos_/,"English, Korean",Basic,,"Indoor / Studio, Nature / Parks, Outdoor / City etc","₩150,000",1–3 hours,Hanbok,
S01002,Stephanie,1 week,"Hanbok, Couple / Love Story, Family, Individual / Portrait, Street / Lifestyle",@milcheese; @milcheese.graphs,https://www.instagram.com/milcheese.graphs/,English,Basic,,"Historical / Landmarks, Indoor / Studio, Nature / Parks, Outdoor / City etc","₩250,000",1–3 hours,Hanbok,
S01003,Harry,1 week,"Individual / Portrait, Sports",@outdoor._.harry,https://www.instagram.com/outdoor._.harry/,English,Basic,,"Historical / Landmarks, Indoor / Studio, Nature / Parks, Outdoor / City etc","₩200,000",1–3 hours,,
S01004,Lee Dae Ho Peter,1 week,"Couple / Love Story, Fashion / Editorial, Individual / Portrait, Wedding / Engagement",@peter.leephoto,https://www.instagram.com/peter.leephoto/,English,Basic,,"Historical / Landmarks, Indoor / Studio, Nature / Parks, Outdoor / City etc","₩300,000",1–3 hours,Professional / High-end,
S01005,Ray Jeong,1 week,"Hanbok, Individual / Portrait, Couple / Love Story, Family, Wedding / Engagement, Fashion / Editorial, Business / Branding, Street / Lifestyle",@portrayphy_sa; @portrayphy_korea,https://www.instagram.com/portrayphy_sa/,English,Basic,,Indoor / Studio,"₩150,000",1–3 hours,Business / Branding / Personal Branding,
S01006,Dima Lee,1 week,"Individual / Portrait, Street / Lifestyle",@_dimalee,https://www.instagram.com/_dimalee/,English,Basic,,"Historical / Landmarks, Indoor / Studio, Nature / Parks, Outdoor / City etc","₩150,000",1–3 hours,"Aesthetic Body-focused, Sensual / Boudoir, Women's Portraits",
S01007,Tina Nguyen,1 week,"Branding, Couple / Love Story, Engagement / Elopement",@tinanguyenphoto,https://www.instagram.com/tinanguyen_photo/,English,Basic,,"Historical / Landmarks, Indoor / Studio, Nature / Parks, Outdoor / City etc","₩200,000",1–3 hours,Elopements,
S01008,Kwang-hee Hong,1 week,"Hanbok, Couple / Love Story, Event / Party, Individual / Portrait",@studio.hong,https://www.instagram.com/hongrui_studio/,"English, Vietnamese",Basic,,"Historical / Landmarks, Indoor / Studio, Nature / Parks, Outdoor / City etc","₩80,000",1–3 hours,Hanbok,
S01009,Lucy Nam,2-3 days,"Branding, Business / Branding, Couple / Love Story, Family, Fashion / Editorial, Individual / Portrait, Sports, Street / Lifestyle",@lifeideo.seoul,https://www.instagram.com/lifeideo.seoul?igsh=aDA4NmI1eWdiMzdn&utm_source=qr,"English, Korean",Fluent,,"Historical / Landmarks, Nature / Parks, Outdoor / City etc","₩75,000",Under 1 hour,,X
S01010,Juhyun Kim,1 week,"Couple / Love Story, Engagement / Elopement, Event / Party, Family, Individual / Portrait, Street / Lifestyle",@mandde_snap,https://www.instagram.com/mandde_snap?igsh=MWExNXNxbjkybzU3aA%3D%3D&utm_source=qr,"English, Korean",Fluent,,"Historical / Landmarks, Indoor / Studio, Nature / Parks, Outdoor / City etc","₩150,000",Under 1 hour,,"Natural, candid"
